Column1,Column2,Column3,Column4
, (E)-2-HEXENYL VALERATE," &diams; 2-HEXENYL VALERATE, TRANS-<br />&diams; HEX-2-ENYL VALERATE, (E)-<br />&diams; PENTANOIC ACID, (2E)-2-HEXENYL ESTER<br />&diams; 2-HEXENYL PENTANOATE, TRANS-<br />&diams; 2-HEXENYL VALERATE, (E)-<br />&diams; 2-HEXENYL PENTANOATE, (E)-", FLAVORING AGENT OR ADJUVANT
, 2-HEXYL-4-ACETOXYTETRAHYDROFURAN," &diams; 2-HEXYL-4-ACETOXYTETRAHYDROFURAN<br />&diams; 2-HEXYLTETRAHYDROFURAN-4-YL ACETATE<br />&diams; 3-FURANOL, 5-HEXYLTETRAHYDRO-, ACETATE<br />&diams; 5-HEXYLTETRAHYDRO-3-FURANYL ACETATE", FLAVORING AGENT OR ADJUVANT
, 2-HEXYLIDENE CYCLOPENTANONE," &diams; 2-HEXYLIDENECYCLOPENTANONE<br />&diams; ALPHA-HEXYLIDENECYCLOPENTANONE<br />&diams; CYCLOPENTANONE, 2-HEXYLIDENE-"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, 2-HEXYLTHIOPHENE," &diams; 2-HEXYLTHIOPHENE<br />&diams; thiophene, 2-hexyl<br />&diams; InChI=1S/C10H16S/c1-2-3-4-5-7-10-8-6-9-11-10/h6,8-9H,2-5,7H2,1H3<br />&diams; InChIKey: QZVHYFUVMQIGGM-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
," 2,6,6-TRIMETHYL-2-HYDROXYCYCLOHEXANONE"," &diams; 2-HYDROXY-2,6,6-TRIMETHYLCYCLOHEXANONE<br />&diams; cyclohexanone, 2-hydroxy-2,6,6-trimethyl-<br />&diams; 2,6,6-trimethyl-2-hydroxycyclohexanone<br />&diams; 2,2,6-trimethyl-6-hydroxycyclohexanone", FLAVORING AGENT OR ADJUVANT
, 2-HYDROXY-2-CYCLOHEXEN-1-ONE," &diams; 2-HYDROXY-2-CYCLOHEXEN-1-ONE<br />&diams; 2-CYCLOHEXEN-1-ONE, 2-HYDROXY-<br />&diams; 2-HYDROXY-2-CYCLOHEXENONE", FLAVORING AGENT OR ADJUVANT
," 2-HYDROXY-3,5,5-TRIMETHYL-2-CYCLOHEXENONE"," &diams; 2-HYDROXY-3,5,5-TRIMETHYL-2-CYCLOHEXEN-1-ONE<br />&diams; 3,5,5-TRIMETHYL-1,2-CYCLOHEXANEDIONE<br />&diams; 2-CYCLOHEXEN-1-ONE, 2-HYDROXY-3,5,5-TRIMETHYL-<br />&diams; 2-HYDROXYISOPHORONE<br />&diams; 2-HYDROXY-3,5,5-TRIMETHYL-2-CYCLOHEXENONE", FLAVORING AGENT OR ADJUVANT
, CYCLOTENE PROPIONATE," &diams; 2-HYDROXY-3-METHYL-2-CYCLOPENTEN-1-ONE PROPIONATE<br />&diams; 2-cyclopenten-1-one, 3-methyl-2-(1-oxopropoxy)-<br />&diams; 3-methyl-2-(1-oxopropoxy)-2-cyclopenten-1-one<br />&diams; 2-cyclopenten-1-one, 2-hydroxy-3-methyl-, propionate<br />&diams; cyclotene propionate<br />&diams; (2-methyl-5-oxo-1-cyclopentenyl)) propanoate", FLAVORING AGENT OR ADJUVANT
, 2-HYDROXY-4-METHOXYBENZALDEHYDE," &diams; 2-HYDROXY-4-METHOXYBENZALDEHYDE<br />&diams; benzaldehyde, 2-hydroxy-4-methoxy-<br />&diams; anisaldehyde, 2-hydroxy-, p-<br />&diams; 2-hydroxy-p-anisaldehyde<br />&diams; 4-methoxysalicylaldehyde<br />&diams; 2-formyl-5-methoxyphenol<br />&diams; InChI=1S/C8H8O3/c1-11-7-3-2-6(5-9)8(10)4-7/h2-5,10H,1H3<br />&diams; InChIKey: WZUODJNEIXSNEU-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 2-HYDROXY-4-METHYLBENZALDEHYDE," &diams; 2-HYDROXY-4-METHYLBENZALDEHYDE<br />&diams; BENZALDEHYDE, 2-HYDROXY-4-METHYL-<br />&diams; HOMOSALICYLALDEHYDE, M-<br />&diams; 2-FORMYL-5-METHYLPHENOL<br />&diams; 2,4-CRESOTALDEHYDE<br />&diams; 4-METHYL-2-HYDROXYBENZALDEHYDE<br />&diams; 4-METHYLSALICYCLIC ALDEHYDE<br />&diams; 4-METHYLSALICYLALDEHYDE", FLAVORING AGENT OR ADJUVANT
, 2-HYDROXY-5-METHYL-3-HEXANONE," &diams; 2-HYDROXY-5-METHYL-3-HEXANONE<br />&diams; 3-HEXANONE, 2-HYDROXY-5-METHYL-", FLAVORING AGENT OR ADJUVANT
, 2-HYDROXY-5-METHYLACETOPHENONE," &diams; 2'-HYDROXY-5'-METHYLACETOPHENONE<br />&diams; ethanone, 1-(2-hydroxy-5-methylphenyl)-<br />&diams; 1-(2-hydroxy-5-methylphenyl)ethanone<br />&diams; acetophenone, 2'-hydroxy-5'-methyl-<br />&diams; 2-hydroxy-5-methylacetophenone<br />&diams; acetyl-p-cresol, o-<br />&diams; 2-acetyl-4-methylphenol<br />&diams; InChI=1S/C9H10O2/c1-6-3-4-9(11)8(5-6)7(2)10/h3-5,11H,1-2H3<br />&diams; InChIKey: YNPDFBFVMJNGKZ-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 2-HYDROXYACETOPHENONE," &diams; 2'-HYDROXYACETOPHENONE<br />&diams; ACETYLPHENOL, O-<br />&diams; ACETOPHENONE, 2'-HYDROXY-<br />&diams; ETHANONE, 1-(2-HYDROXYPHENYL)-<br />&diams; HYDROXYACETOPHENONE, O-<br />&diams; 1-(2-HYDROXYPHENYL)ETHANONE<br />&diams; 2-ACETYLPHENOL<br />&diams; 2-HYDROXYPHENYL METHYL KETONE", FLAVORING AGENT OR ADJUVANT
, O-TRANS-COUMARIC ACID," &diams; 2-HYDROXYCINNAMIC ACID, (E)-<br />&diams; 2-hydroxycinnamic acid, trans-<br />&diams; 3-(2-hydroxyphenyl)-2-propenoic acid, (2E)-<br />&diams; 2-propenoic acid, 3-(2-hydroxyphenyl)-, (2E)-<br />&diams; cinnamic acid, o-hyderoxy-, (E)-<br />&diams; hydroxycinnamic acid, o-, (E)-<br />&diams; o-hydroxycinnamic acid, (E)-<br />&diams; coumaric acid, o-, trans-<br />&diams; coumaric acid, trans-o-", FLAVORING AGENT OR ADJUVANT
," 3,5-DIMETHYL-2-ISOBUTYLPYRAZINE"," &diams; 2-ISOBUTYL-3,5-DIMETHYLPYRAZINE<br />&diams; pyrazine, 3,5-dimethyl-2-(2-methylpropyl)-<br />&diams; 3,5-dimethyl-2-(2-methylpropyl)pyrazine<br />&diams; 3,5-dimethyl-2-isobutylpyrazine", FLAVORING AGENT OR ADJUVANT
, 2-ISOBUTYL-3-METHOXYPYRAZINE," &diams; 2-ISOBUTYL-3-METHOXYPYRAZINE<br />&diams; PYRAZINE, 2-METHOXY-3-(2-METHYLPROPYL)-<br />&diams; PYRAZINE, 2-ISOBUTYL-3-METHOXY-<br />&diams; 2-METHOXY-3-(2-METHYLPROPYL)PYRAZINE", FLAVORING AGENT OR ADJUVANT
, 2-ISOBUTYL-3-METHYLPYRAZINE," &diams; 2-ISOBUTYL-3-METHYLPYRAZINE<br />&diams; PYRAZINE, 2-METHYL-3-(2-METHYLPROPYL)-<br />&diams; PYRAZINE, 2-ISOBUTYL-3-METHYL-<br />&diams; 2-METHYL-3-ISOBUTYLPYRAZINE<br />&diams; 2-METHYL-3-(2-METHYLPROPYL)PYRAZINE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
," 4,5-DIMETHYL-2-ISOBUTYL-3-THIAZOLINE"," &diams; 2-ISOBUTYL-4,5-DIMETHYL-3-THIAZOLINE<br />&diams; THIAZOLE, 2,5-DIHYDRO-4,5-DIMETHYL-2-(2-METHYLPROPYL)-<br />&diams; 2,5-DIHYDRO-4,5-DIMETHYL-2-(2-METHYLPROPYL)THIAZOLE<br />&diams; 4,5-DIMETHYL-2-ISOBUTYL-3-THIAZOLINE", FLAVORING AGENT OR ADJUVANT
," 2-ISOBUTYL-4,5-DIMETHYLOXAZOLE"," &diams; 2-ISOBUTYL-4,5-DIMETHYLOXAZOLE<br />&diams; oxazole, 4,5-dimethyl-2-(2-methylpropyl)-<br />&diams; 4,5-dimethyl-2-(2-methylpropyl)oxazole<br />&diams; oxazole, 2-isobutyl-4,5-dimethyl-<br />&diams; InChI=1S/C9H15NO/c1-6(2)5-9-10-7(3)8(4)11-9/h6H,5H2,1-4H3<br />&diams; InChIKey: SNRVAFQIIFPYDR-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
," 4,5-DIMETHYL-2-ISOBUTYLTHIAZOLE"," &diams; 2-ISOBUTYL-4,5-DIMETHYLTHIAZOLE<br />&diams; thiazole, 4,5-dimethyl-2-(2-methylpropyl)-<br />&diams; 4,5-dimethyl-2-isobutylthiazole<br />&diams; geranium thiazole", FLAVORING AGENT OR ADJUVANT
, CIS AND TRANS-5-ETHYL-4-METHYL-2-(2-METHYLPROPYL)-THIAZOLINE," &diams; 2-ISOBUTYL-5-ETHYL-4-METHYL-3-THIAZOLINE<br />&diams; thiazole, 5-ethyl-2,5-dihydro-4-methyl-2-(2-methylpropyl)-<br />&diams; 5-ethyl-2,5-dihydro-4-methyl-2-(2-methylpropyl)thiazole<br />&diams; 5-ethyl-4-methyl-2-(2-methylpropyl)thiazoline<br />&diams; InChI=1S/C10H19NS/c1-5-9-8(4)11-10(12-9)6-7(2)3/h7-9H,5-6H2,1-4H3<br />&diams; InChIKey: VRMJLCZXVASWQJ-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 2-(2-METHYLPROPYL)PYRIDINE," &diams; 2-ISOBUTYLPYRIDINE<br />&diams; 2-(2-METHYLPROPYL)PYRIDINE<br />&diams; PYRIDINE, 2-(2-METHYLPROPYL)-<br />&diams; PYRIDINE, 2-ISOBUTYL-", FLAVORING AGENT OR ADJUVANT
, 2-ISOBUTYLTHIAZOLE," &diams; 2-ISOBUTYLTHIAZOLE<br />&diams; 2-ISOBUTYL-1,3-THIAZOLE<br />&diams; THIAZOLE, 2-(2-METHYLPROPYL)-<br />&diams; 2-(2-METHYLPROPYL)THIAZOLE<br />&diams; THIAZOLE, 2-ISOBUTYL-", FLAVORING AGENT OR ADJUVANT
, 2-ISOPROPYL-4-METHYLTHIAZOLE," &diams; 2-ISOPROPYL-4-METHYLTHIAZOLE<br />&diams; THIAZOLE, 4-METHYL-2-(1-METHYLETHYL)-<br />&diams; THIAZOLE, 2-ISOPROPYL-4-METHYL-<br />&diams; 4-METHYL-2-(1-METHYLETHYL)THIAZOLE", FLAVORING AGENT OR ADJUVANT
, 2-ISOPROPYL-5-METHYL-2-HEXENAL," &diams; 2-ISOPROPYL-5-METHYL-2-HEXENAL<br />&diams; ALPHA-ISOPROPYL-BETA-ISOBUTYLACROLEIN<br />&diams; ISODIHYDROAVANDULYL ALDEHYDE<br />&diams; 2-HEXENAL, 5-METHYL-2-(1-METHYLETHYL)-<br />&diams; 2-HEXENAL, 2-ISOPROPYL-5-METHYL-<br />&diams; 5-METHYL-2-(1-METHYLETHYL)-2-HEXENAL", FLAVORING AGENT OR ADJUVANT
, 1-METHYL-3-METHOXY-4-ISOPROPYLBENZENE," &diams; 2-ISOPROPYL-5-METHYLANISOLE<br />&diams; BENZENE, 2-METHOXY-4-METHYL-1-(1-METHYLETHYL)-<br />&diams; ANISOLE, 2-ISOPROPYL-5-METHYL-<br />&diams; METHYL THYMYL ETHER<br />&diams; METHYLTHYMOL, O-<br />&diams; THYMOL METHYL ETHER<br />&diams; 1-METHYL-3-METHOXY-4-ISOPROPYLBENZENE<br />&diams; 3-METHOXY-P-CYMENE<br />&diams; 2-METHOXY-4-METHYL-1-(1-METHYLETHYL)BENZENE<br />&diams; 1-ISOPROPYL-2-METHOXY-4-METHYLBENZENE<br />&diams; 4-ISOPROPYL-3-METHOXYTOLUENE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, N-(2-(PYRIDIN-2-YL)ETHYL)-3-P-MENTHANECARBOXAMIDE," &diams; 2-ISOPROPYL-5-METHYL-N-(2-(2-PYRIDINYL)ETHYL)CYCLOHEXANECARBOXAMIDE<br />&diams; cyclohexanecarboxamide, 5-methyl-2-(1-methylethyl)-N-(2-(2-pyridinyl)ethyl)-<br />&diams; N-(2-(2-pyridinyl)ethyl)-3-p-menthanecarboxamide<br />&diams; N-(2-(pyridin-2-yl)ethyl)-3-p-menthanecarboxamide<br />&diams; 5-methyl-2-(1-methylethyl)-N-(2-(2-pyridinyl)ethyl)cyclohexanecarboxamide", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-5-ISOPROPYLPYRAZINE," &diams; 2-ISOPROPYL-5-METHYLPYRAZINE<br />&diams; PYRAZINE, 2-METHYL-5-(1-METHYLETHYL)-<br />&diams; PYRAZINE, 2-ISOPROPYL-5-METHYL-<br />&diams; 2-METHYL-5-ISOPROPYLPYRAZINE<br />&diams; 2-METHYL-5-(1-METHYLETHYL)PYRAZINE<br />&diams; 5-ISOPROPYL-2-METHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
," (1R,2S,5R)-N-(4-METHOXYPHENYL)-5-METHYL-2-(1-METHYLETHYL)CYCLOHEXANECARBOXAMIDE"," &diams; 2-ISOPROPYL-N-(4-METYOXYPHENYL)-5-METHYLCYCLOHEXANECARBOXAMIDE, (1R,2S,5R)-<br />&diams; N-(4-methoxyphenyl)-5-methyl-2-(1-methylethyl)cyclohexanecarboxamide, (1R,2S,5R)-<br />&diams; cyclohexanecarboxamide, N-(4-methoxyphenyl)-5-methyl-2-(1-methylethyl)-, (1R,2S,5R)-<br />&diams; N-(4-methoxyphenyl)-5-methyl-2-(1-methylethyl)cyclohexanecarboxamide, (1R-(1alpha,2beta,5alpha)-", FLAVORING AGENT OR ADJUVANT
," 2-ISOPROPYL-N,2,3-TRIMETHYLBUTYRAMIDE"," &diams; 2-ISOPROPYL-N,2,3-TRIMETHYLBUTANAMIDE<br />&diams; BUTANAMIDE, N,2,3-TRIMETHYL-2-(1-METHYLETHYL)-<br />&diams; METHYL DIISOPROPYL PROPIONAMIDE<br />&diams; N,2,3-TRIMETHYL-2-(1-METHYLETHYL)BUTANAMIDE<br />&diams; N,2,3-TRIMETHYL-2-ISOPROPYLBUTANAMIDE<br />&diams; 2-ISOPROPYL-N,2,3-TRIMETHYLBUTYRAMIDE", FLAVORING AGENT OR ADJUVANT
, 2-MERCAPTO-2-METHYL-1-PENTANOL," &diams; 2-MERCAPTO-2-METHYL-1-PENTANOL<br />&diams; 1-PENTANOL, 2-MERCAPTO-2-METHYL-<br />&diams; 2-MERCAPTO-2-METHYLPENTAN-1-OL, (+-)-", FLAVORING AGENT OR ADJUVANT
, 2-MERCAPTOETHANOL," &diams; 2-MERCAPTOETHANOL<br />&diams; MERCAPTOETHANOL<br />&diams; 2-THIOETHANOL<br />&diams; ETHANOL, 2-MERCAPTO-<br />&diams; BETA-MERCAPTOETHANOL<br />&diams; 2-HYDROXY-1-ETHANETHIOL<br />&diams; MONOTHIOETHYLENE GLYCOL", FLAVORING AGENT OR ADJUVANT
, 2-MERCAPTOPROPIONIC ACID," &diams; 2-MERCAPTOPROPIONIC ACID<br />&diams; ALPHA-MERCAPTOPROPANOIC ACID<br />&diams; PROPANOIC ACID, 2-MERCAPTO-<br />&diams; PROPIONIC ACID, 2-MERCAPTO-<br />&diams; 2-MERCAPTOPROPANOIC ACID<br />&diams; 2-THIOLPROPIONIC ACID", FLAVORING AGENT OR ADJUVANT
, 2-METHOXY-3-(1-METHYLPROPYL)PYRAZINE," &diams; 2-METHOXY-3-(1-METHYLPROPYL)PYRAZINE<br />&diams; PYRAZINE, 2-METHOXY-3-(1-METHYLPROPYL)-<br />&diams; PYRAZINE, 2-SEC-BUTYL-3-METHOXY-<br />&diams; 2-METHOXY-3-SEC-BUTYLPYRAZINE<br />&diams; 2-SEC-BUTYL-3-METHOXYPYRAZINE", FLAVORING AGENT OR ADJUVANT
, (2 OR 5 OR 6)-METHOXY-3-METHYLPYRAZINE (MIXTURE OF ISOMERS), &diams; 2-METHOXY-3(OR 5 OR 6)-METHYLPYRAZINE<br />&diams; 2(OR 5 OR 6)-METHOXY-3-METHYLPYRAZINE<br />&diams; 2-METHYL-3(OR 5 OR 6)-METHOXYPYRAZINE<br />&diams; 2-METHYL-3(OR 5 OR 6)-MOP, FLAVORING AGENT OR ADJUVANT
, 2-METHOXY-4-METHYLPHENOL," &diams; 2-METHOXY-4-METHYLPHENOL<br />&diams; CREOSOL<br />&diams; HOMOCATECHOL MONOMETHYL ETHER<br />&diams; METHYLGUAIACOL, P-<br />&diams; PHENOL, 2-METHOXY-4-METHYL-<br />&diams; P-CRESOL, 2-METHOXY-<br />&diams; 2-METHOXY-P-CRESOL<br />&diams; 1-HYDROXY-2-METHOXY-4-METHYLBENZENE<br />&diams; 3-METHOXY-4-HYDROXYTOLUENE<br />&diams; 4-METHYLGUAIACOL<br />&diams; 4-HYDROXY-3-METHOXY-1-METHYLBENZENE<br />&diams; 4-HYDROXY-3-METHOXYTOLUENE<br />&diams; 4-METHYL-2-METHOXYPHENOL", FLAVORING AGENT OR ADJUVANT
, 2-METHOXYACETOPHENONE," &diams; 2-METHOXYACETOPHENONE<br />&diams; ethanone, 1-(2-methoxyphenyl)-<br />&diams; methoxyacetophenone, o-<br />&diams; 1-(2-methoxyphenyl)ethanone<br />&diams; InChI=1S/C9H10O2/c1-7(10)8-5-3-4-6-9(8)11-2/h3-6H,1-2H3<br />&diams; InChIKey: DWPLEOPKBWNPQV-UHFFFAOYSA-N<br />&diams; acetylanisole, o-", FLAVORING AGENT OR ADJUVANT
, O-METHOXYBENZALDEHYDE," &diams; 2-METHOXYBENZALDEHYDE<br />&diams; ANISALDEHYDE, O-<br />&diams; BENZALDEHYDE, 2-METHOXY-<br />&diams; FORMYLANISOLE, O-<br />&diams; METHOXYBENZALDEHYDE, O-<br />&diams; O-ANISALDEHYDE<br />&diams; SALICYLALDEHYDE METHYL ETHER<br />&diams; 2-ANISALDEHYDE<br />&diams; 2-METHOXYBENZENECARBOXALDEHYDE<br />&diams; 2-METHOXYPHENYLFORMALDEHYDE", FLAVORING AGENT OR ADJUVANT
, 2-MERCAPTOANISOLE," &diams; 2-METHOXYBENZENETHIOL<br />&diams; 2-methoxythiophenol<br />&diams; benzenethiol, 2-methoxy-<br />&diams; benzenethiol, o-methoxy-<br />&diams; methoxybenzenethiol, o-<br />&diams; 2-mercaptoanisole<br />&diams; InChI=1S/C7H8OS/c1-8-6-4-2-3-5-7(6)9/h2-5,9H,1H3<br />&diams; InChIKey: DSCJETUEDFKYGN-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 2-METHOXYBENZOIC ACID," &diams; 2-METHOXYBENZOIC ACID<br />&diams; BENZOIC ACID, 2-METHOXY-<br />&diams; ANISIC ACID, O-<br />&diams; METHOXYBENZOIC ACID, O-<br />&diams; O-ANISIC ACID<br />&diams; O-METHYLSALICYLIC ACID<br />&diams; SALICYLIC ACID METHYL ETHER<br />&diams; 2-ANISIC ACID", FLAVORING AGENT OR ADJUVANT
, BETA-NAPHTHYL METHYL ETHER," &diams; 2-METHOXYNAPHTHALENE<br />&diams; METHYL BETA-NAPHTHYL ETHER<br />&diams; BETA-NAPHTHYL METHYL ETHER<br />&diams; YARA YARA<br />&diams; NEROLIN (OLD)<br />&diams; BETA-METHOXYNAPHTHALENE<br />&diams; NAPHTHALENE, 2-METHOXY-", FLAVORING AGENT OR ADJUVANT
, 2-METHOXYPYRIDINE," &diams; 2-METHOXYPYRIDINE<br />&diams; pyridine, 2-methoxy-", FLAVORING AGENT OR ADJUVANT
," 2-METHYL-1,3-CYCLOHEXADIENE"," &diams; 2-METHYL-1,3-CYCLOHEXADIENE<br />&diams; 1,3-CYCLOHEXADIENE, 2-METHYL-<br />&diams; 3,4-DIHYDROTOLUENE<br />&diams; 4,5-DIHYDROTOLUENE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
," 2-METHYL-1,3-DITHIOLANE"," &diams; 2-METHYL-1,3-DITHIOLANE<br />&diams; 2-METHYL-1,3-DITHIACYCLOPENTANE<br />&diams; 1,3-DITHIOLANE, 2-METHYL-", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-1-BUTANETHIOL," &diams; 2-METHYL-1-BUTANETHIOL<br />&diams; 1-BUTANETHIOL, 2-METHYL-"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, 2-METHYL-1-BUTANOL," &diams; 2-METHYL-1-BUTANOL<br />&diams; 2-METHYL-1-BUTANOL, (+-)_<br />&diams; 1-BUTANOL, 2-METHYL-<br />&diams; 2-METHYLBUTYL ALCOHOL<br />&diams; AMYL ALCOHOL, ACTIVE<br />&diams; AMYL ALCOHOL, ACTIVE PRIMARY<br />&diams; AMYL ALCOHOL, PRIMARY ACTIVE<br />&diams; BUTYLCARBINOL, SEC-", FLAVORING AGENT OR ADJUVANT
, (+/-)-CIS- AND TRANS-2-METHYL-2-(4-METHYL-3-PENTENYL)CYCLOPROPANECARBALDEHYDE," &diams; 2-METHYL-2-(40METHYL-3-PENTEN-1-YL)CYCLOPROPANECARBOXALDEHYDE<br />&diams; cyclopropanecarboxaldehyde, 2-methyl-2-(4-methyl-3-penten-1-yl)-<br />&diams; cyclopropanecarboxaldehyde, 2-methyl-2-(4-methyl-3-pentenyl)-<br />&diams; 2-methyl-2-(4-methyl-3-penten-1-yl)cyclopropanecarboxaldehyde", FLAVORING AGENT OR ADJUVANT
, 2-METHYLBUT-2-EN-1-OL," &diams; 2-METHYL-2-BUTEN-1-OL<br />&diams; BETA-METHYLCROTYL ALCOHOL<br />&diams; 2-BUTEN-1-OL, 2-METHYL-<br />&diams; 2-methylbut-2-en-1-ol<br />&diams; InChI=1S/C5H10O/c1-3-5(2)4-6/h3,6H,4H2,1-2H3/b5-3+<br />&diams; InChIKey: NEJDKFPXHQRVMV-HWKANZROSA-N", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-2-OCTENAL," &diams; 2-METHYL-2-OCTENAL<br />&diams; 2-OCTENAL, 2-METHYL-", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-2-PENTENAL," &diams; 2-METHYL-2-PENTENAL<br />&diams; 2,4-DIMETHYLCROTONALDEHYDE<br />&diams; 2-PENTENAL, 2-METHYL-<br />&diams; ALPHA-METHYL-BETA-ETHYLACROLEIN<br />&diams; 2-METHYL-3-ETHYLACROLEIN<br />&diams; BETA-ETHYL-ALPHA-METHYLACROLEIN", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-2-PENTENOIC ACID," &diams; 2-METHYL-2-PENTENOIC ACID<br />&diams; 2-PENTENOIC ACID, 2-METHYL-", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-3-(METHYLTHIO)FURAN," &diams; 2-METHYL-3-(METHYLTHIO)FURAN<br />&diams; FURAN, 2-METHYL-3-(METHYLTHIO)-", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-3 OR 5 OR 6-(FURFURYLTHIO)PYRAZINE (MIXTURE OF ISOMERS)," &diams; 2-METHYL-3(OR 5 OR 6)-(FURFURYLTHIO)PYRAZINE<br />&diams; ((2-FURANYLMETHYL)THIO)METHYLPYRAZINE<br />&diams; PYRAZINE, ((2-FURANYLMETHYL)THIO)METHYL-", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-3-BUTEN-2-OL," &diams; 2-METHYL-3-BUTEN-2-OL<br />&diams; ALPHA,ALPHA-DIMETHYLALLYL ALCOHOL<br />&diams; DIMETHYLVINYLCARBINOL<br />&diams; DIMETHYLVINYLMETHANOL<br />&diams; VINYLDIMETHYLCARBINOL<br />&diams; 3-BUTEN-2-OL, 2-METHYL-<br />&diams; 1,1-DIMETHYL-2-PROPENOL<br />&diams; 2-METHYL-2-HYDROXY-3-BUTENE<br />&diams; 3-METHYL-1-BUTEN-3-OL<br />&diams; 2-METHYL-3-BUTEN-2-YL ALCOHOL<br />&diams; 1,1-DIMETHYLALLYL ALCOHOL<br />&diams; 3-HYDROXY-3-METHYLBUTENE", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-3-FURANTHIOL," &diams; 2-METHYL-3-FURANTHIOL<br />&diams; 2-METHYL-3-FURYL MERCAPTAN<br />&diams; 3-FURANTHIOL, 2-METHYL-<br />&diams; 2-METHYL-3-MERCAPTOFURAN<br />&diams; 2-METHYL-3-FURYLTHIOL<br />&diams; 2-METHYL-3-THIOFURAN"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, 2-METHYL-3-FURYL 2-METHYL-3-TETRAHYDROFURYL DISULFIDE," &diams; 2-METHYL-3-FURYL 2-METHYL-3-TETRAHYDROFURYL DISULFIDE<br />&diams; furan, tetrahydro-2-methyl-3-((2-methyl-3-furanyl)dithio)-<br />&diams; tetrahydro-2-methyl-3-((2-methyl-3-furanyl)dithio)furan", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-3-FURYL METHYLTHIOMETHYL DISULFIDE," &diams; 2-METHYL-3-FURYL METHYLTHIOMETHYL DISULFIDE<br />&diams; methylthiomethyl 2-methyl-3-furyl disulfide<br />&diams; furan, 2-methyl-3-(((methylthio)methyl)dithio)-<br />&diams; 2-methyl-3-(((methylthio)methyl)dithio)furan<br />&diams; InChI=1S/C7H10OS3/c1-6-7(3-4-8-6)11-10-5-9-2/h3-4H,5H2,1-2H3<br />&diams; InChIKey=WQZZYRQOADSWHJ-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-3-HEPTANONE," &diams; 2-METHYL-3-HEPTANONE<br />&diams; 3-HEPTANONE, 2-METHYL-<br />&diams; BUTYL ISOPROPYL KETONE<br />&diams; 2-METHYLHEPTAN-3-ONE", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-3-PENTENOIC ACID," &diams; 2-METHYL-3-PENTENOIC ACID<br />&diams; 3-PENTENOIC ACID, 2-METHYL-", FLAVORING AGENT OR ADJUVANT
," 2-METHYL-3-THIOACETOXY-4,5-DIHYDROFURAN"," &diams; 2-METHYL-3-THIOACETOXY-4,5-DIHYDROFURAN<br />&diams; ACETIC ACID, THIO-, S-(4,5-DIHYDRO-2-METHYL-3-FURYL) ESTER<br />&diams; ETHANETHIOIC ACID, S-(4,5-DIHYDRO-2-METHYL-3-FURANYL) ESTER<br />&diams; S-(4,5-DIHYDRO-2-METHYL-3-FURANYL) ETHANETHIOATE<br />&diams; S-(4,5-DIHYDRO-2-METHYL-3-FURYL) THIOACETATE<br />&diams; 2-METHYL-4,5-DIHYDRO-3-FURANTHIOL ACETATE<br />&diams; 3-FURANTHIOL, 4,5-DIHYDRO-2-METHYL-, ACETATE<br />&diams; 4,5-DIHYDRO-2-METHYL-3-FURANTHIYL ACETATE", FLAVORING AGENT OR ADJUVANT
," 2-METHYL-3-TOLYLPROPIONALDEHYDE (MIXED O-, M-, P-)"," &diams; 2-METHYL-3-TOLYLPROPIONALDEHYDE<br />&diams; ALPHA,2(OR 3 OR 4)-DIMETHYLBENZENEPROPANAL<br />&diams; SATINALDEHYDE<br />&diams; 2-METHYL-3-TOLYLPROPIONALDEHYDE, MIXED O-,M-,P-", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-4-PENTENOIC ACID," &diams; 2-METHYL-4-PENTENOIC ACID<br />&diams; 4-PENTENOIC ACID, 2-METHYL-", FLAVORING AGENT OR ADJUVANT
